title                                                                                                                                                            , authors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , paper_url
General framework for online-to-nonconvex conversion: Schedule-free SGD is also effective for nonconvex optimization                                             , "Kwangjun Ahn, Gagik Magakyan, Ashok Cutkosky"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , https://proceedings.mlr.press/v267/ahn25a.html
GAPrompt: Geometry-Aware Point Cloud Prompt for 3D Vision Model                                                                                                  , "Zixiang Ai, Zichen Liu, Yuanhang Lei, Zhenyu Cui, Xu Zou, Jiahuan Zhou"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , https://proceedings.mlr.press/v267/ai25a.html
Vision Graph Prompting via Semantic Low-Rank Decomposition                                                                                                       , "Zixiang Ai, Zichen Liu, Jiahuan Zhou"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , https://proceedings.mlr.press/v267/ai25b.html
An Instrumental Value for Data Production and its Application to Data Pricing                                                                                    , "Rui Ai, Boxiang Lyu, Zhaoran Wang, Zhuoran Yang, Haifeng Xu"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , https://proceedings.mlr.press/v267/ai25c.html
Simple Path Structural Encoding for Graph Transformers                                                                                                           , "Louis Airale, Antonio Longa, Mattia Rigon, Andrea Passerini, Roberto Passerone"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , https://proceedings.mlr.press/v267/airale25a.html
Implicit degree bias in the link prediction task                                                                                                                 , "Rachith Aiyappa, Xin Wang, Munjung Kim, Ozgur Can Seckin, Yong-Yeol Ahn, Sadamori Kojaku"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , https://proceedings.mlr.press/v267/aiyappa25a.html
Nesterov Method for Asynchronous Pipeline Parallel Optimization                                                                                                  , "Thalaiyasingam Ajanthan, Sameera Ramasinghe, Yan Zuo, Gil Avraham, Alexander Long"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , https://proceedings.mlr.press/v267/ajanthan25a.html
"When, Where and Why to Average Weights?"                                                                                                                        , "Niccolò Ajroldi, Antonio Orvieto, Jonas Geiping"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , https://proceedings.mlr.press/v267/ajroldi25a.html
The Surprising Effectiveness of Test-Time Training for Few-Shot Learning                                                                                         , "Ekin Akyürek, Mehul Damani, Adam Zweiger, Linlu Qiu, Han Guo, Jyothish Pari, Yoon Kim, Jacob Andreas"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , https://proceedings.mlr.press/v267/akyurek25a.html
A Tale of Two Structures: Do LLMs Capture the Fractal Complexity of Language?                                                                                    , "Ibrahim Alabdulmohsin, Andreas Peter Steiner"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , https://proceedings.mlr.press/v267/alabdulmohsin25a.html
NETS: A Non-equilibrium Transport Sampler                                                                                                                        , "Michael Samuel Albergo, Eric Vanden-Eijnden"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , https://proceedings.mlr.press/v267/albergo25a.html
Prediction via Shapley Value Regression                                                                                                                          , "Amr Alkhatib, Roman Bresson, Henrik Boström, Michalis Vazirgiannis"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , https://proceedings.mlr.press/v267/alkhatib25a.html
Differentiable Quadratic Optimization For the Maximum Independent Set Problem                                                                                    , "Ismail Alkhouri, Cedric Le Denmat, Yingjie Li, Cunxi Yu, Jia Liu, Rongrong Wang, Alvaro Velasquez"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , https://proceedings.mlr.press/v267/alkhouri25a.html
SITCOM: Step-wise Triple-Consistent Diffusion Sampling For Inverse Problems                                                                                      , "Ismail Alkhouri, Shijun Liang, Cheng-Han Huang, Jimmy Dai, Qing Qu, Saiprasad Ravishankar, Rongrong Wang"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , https://proceedings.mlr.press/v267/alkhouri25b.html
Direct Motion Models for Assessing Generated Videos                                                                                                              , "Kelsey R Allen, Carl Doersch, Guangyao Zhou, Mohammed Suhail, Danny Driess, Ignacio Rocco, Yulia Rubanova, Thomas Kipf, Mehdi S. M. Sajjadi, Kevin Patrick Murphy, Joao Carreira, Sjoerd Van Steenkiste"                                                                                                                                                                                                                                                                                                                                                                                                                , https://proceedings.mlr.press/v267/allen25a.html
Towards Trustworthy Federated Learning with Untrusted Participants                                                                                               , "Youssef Allouah, Rachid Guerraoui, John Stephan"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , https://proceedings.mlr.press/v267/allouah25a.html
Subgroups Matter for Robust Bias Mitigation                                                                                                                      , "Anissa Alloula, Charles Jones, Ben Glocker, Bartlomiej Papiez"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , https://proceedings.mlr.press/v267/alloula25a.html
Aligning Multimodal Representations through an Information Bottleneck                                                                                            , "Antonio Almudévar, José Miguel Hernández-Lobato, Sameer Khurana, Ricard Marxer, Alfonso Ortega"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , https://proceedings.mlr.press/v267/almudevar25a.html
Disentangling and Integrating Relational and Sensory Information in Transformer Architectures                                                                    , "Awni Altabaa, John Lafferty"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , https://proceedings.mlr.press/v267/altabaa25a.html
Explaining the role of Intrinsic Dimensionality in Adversarial Training                                                                                          , "Enes Altinisik, Safa Messaoud, Husrev Taha Sencar, Hassan Sajjad, Sanjay Chawla"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , https://proceedings.mlr.press/v267/altinisik25a.html
The Butterfly Effect: Neural Network Training Trajectories Are Highly Sensitive to Initial Conditions                                                            , "Gül Sena Altıntaş, Devin Kwok, Colin Raffel, David Rolnick"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , https://proceedings.mlr.press/v267/altintas25a.html
Continuously Updating Digital Twins using Large Language Models                                                                                                  , "Harry Amad, Nicolás Astorga, Mihaela Van Der Schaar"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , https://proceedings.mlr.press/v267/amad25a.html
Determinant Estimation under Memory Constraints and Neural Scaling Laws                                                                                          , "Siavash Ameli, Chris Van Der Heide, Liam Hodgkinson, Fred Roosta, Michael W. Mahoney"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , https://proceedings.mlr.press/v267/ameli25a.html
Training Flexible Models of Genetic Variant Effects from Functional Annotations using Accelerated Linear Algebra                                                 , "Alan Nawzad Amin, Andres Potapczynski, Andrew Gordon Wilson"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , https://proceedings.mlr.press/v267/amin25a.html
